number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_max_iter,params_selection,params_tol,state
121,0.6397386207065561,2025-06-21 22:32:34.971044,2025-06-21 22:32:35.022066,0 days 00:00:00.051022,0.0001020586318001003,True,7000,cyclic,0.0014407784252887536,COMPLETE
122,0.6400519979614064,2025-06-21 22:32:35.023582,2025-06-21 22:32:35.077591,0 days 00:00:00.054009,0.00013574006826103617,True,8000,cyclic,0.0011094555436309491,COMPLETE
123,0.8572444592561586,2025-06-21 22:32:35.078593,2025-06-21 22:32:35.134898,0 days 00:00:00.056305,0.04490013131475199,True,7000,cyclic,0.0014491682035159062,COMPLETE
124,0.6404632196690718,2025-06-21 22:32:35.134898,2025-06-21 22:32:35.183900,0 days 00:00:00.049002,0.00017269243720519428,True,7000,cyclic,0.0008700947836936397,COMPLETE
125,0.6397509806402063,2025-06-21 22:32:35.183900,2025-06-21 22:32:35.241425,0 days 00:00:00.057525,0.0001026724406167819,True,7000,cyclic,0.0016714662488497422,COMPLETE
126,0.6397386207065561,2025-06-21 22:32:35.242428,2025-06-21 22:32:35.300425,0 days 00:00:00.057997,0.00010017777036143381,True,5000,cyclic,0.002016121274983578,COMPLETE
127,0.6403161099755571,2025-06-21 22:32:35.300425,2025-06-21 22:32:35.354957,0 days 00:00:00.054532,0.0001475736222097125,True,5000,cyclic,0.005307707713262556,COMPLETE
128,0.63988299133173,2025-06-21 22:32:35.354957,2025-06-21 22:32:35.410960,0 days 00:00:00.056003,0.00012086200183725917,True,4000,cyclic,0.001238960182216056,COMPLETE
129,0.640981476165194,2025-06-21 22:32:35.411963,2025-06-21 22:32:35.467474,0 days 00:00:00.055511,0.00023113170724199374,True,5000,cyclic,0.003458448721753391,COMPLETE
130,0.6405011491493249,2025-06-21 22:32:35.467474,2025-06-21 22:32:35.522481,0 days 00:00:00.055007,0.00017696542152797852,True,5000,cyclic,0.0029415323949385894,COMPLETE
131,0.6399988310772454,2025-06-21 22:32:35.522481,2025-06-21 22:32:35.580991,0 days 00:00:00.058510,0.00012786742546061123,True,6000,cyclic,0.0020391772989995995,COMPLETE
132,0.6397386207065561,2025-06-21 22:32:35.581992,2025-06-21 22:32:35.634506,0 days 00:00:00.052514,0.00010178348599967068,True,7000,cyclic,0.0018047502398381447,COMPLETE
133,0.6403110646100203,2025-06-21 22:32:35.635505,2025-06-21 22:32:35.682507,0 days 00:00:00.047002,0.00014862001961796263,True,6000,cyclic,0.0014505992705627704,COMPLETE
134,0.6397386207065561,2025-06-21 22:32:35.682507,2025-06-21 22:32:35.733052,0 days 00:00:00.050545,0.00010124379561921247,True,5000,cyclic,0.0024252397293283885,COMPLETE
135,0.6397386207065561,2025-06-21 22:32:35.734054,2025-06-21 22:32:35.785053,0 days 00:00:00.050999,0.0001011564041974521,True,5000,cyclic,0.0024467317578350167,COMPLETE
136,0.6399306741309142,2025-06-21 22:32:35.785053,2025-06-21 22:32:35.834613,0 days 00:00:00.049560,0.00012519581812225856,True,4000,cyclic,0.002210456875772497,COMPLETE
137,0.6407541544055093,2025-06-21 22:32:35.835608,2025-06-21 22:32:35.890600,0 days 00:00:00.054992,0.00019250517987099097,True,5000,cyclic,0.0016704294973001372,COMPLETE
138,0.6403110646100203,2025-06-21 22:32:35.891601,2025-06-21 22:32:35.965126,0 days 00:00:00.073525,0.00014977753094653598,True,5000,cyclic,0.0026359774966300347,COMPLETE
139,0.7657385090955822,2025-06-21 22:32:35.966126,2025-06-21 22:32:36.040640,0 days 00:00:00.074514,0.011074460312805552,True,6000,cyclic,0.004240356580527747,COMPLETE
